Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 4, 40.0, 0.9
Query 2, 6, 60.0, 0.6
Query 3, 3, 30.0, -4.0
Query 4, 7, 70.0, -1.0357142857142856
Query 5, 0, 0.0, 0
Query 6, 0, 0.0, 0
Query 7, 5, 50.0, 0.85
Query 8, 8, 80.0, 0.7857142857142857
Query 9, 2, 20.0, -48.0
Query 10, 0, 0.0, 0
Query 11, 6, 60.0, 0.2571428571428571
Query 12, 0, 0.0, 0
Query 13, 0, 0.0, 0
Query 14, 0, 0.0, 0
Query 15, 7, 70.0, 0.0892857142857143
Query 16, 4, 40.0, 0.6
Query 17, 0, 0.0, 0
Query 18, 0, 0.0, 0
Query 19, 5, 50.0, 0.09999999999999998
Query 20, 1, 10.0, 1
Query 21, 6, 60.0, 0.5142857142857142
Query 22, 2, 20.0, -4.0
Query 23, 8, 80.0, 0.7857142857142857
Query 24, 4, 40.0, -2.7
Query 25, 3, 30.0, 0.0
Query 26, 7, 70.0, 0.875
Query 27, 4, 40.0, 0.8
Query 28, 0, 0.0, 0
Query 29, 9, 90.0, 0.2583333333333333
Query 30, 6, 60.0, -0.02857142857142847
Query 31, 3, 30.0, -0.5
Query 32, 0, 0.0, 0
Query 33, 1, 10.0, 1
Query 34, 0, 0.0, 0
Query 35, 0, 0.0, 0
Query 36, 5, 50.0, -1.0499999999999998
Query 37, 2, 20.0, -3.0
Query 38, 0, 0.0, 0
Query 39, 0, 0.0, 0
Query 40, 0, 0.0, 0
Query 41, 7, 70.0, 0.4107142857142857
Query 42, 2, 20.0, -25.0
Query 43, 0, 0.0, 0
Query 44, 5, 50.0, 0.09999999999999998
Query 45, 0, 0.0, 0
Query 46, 7, 70.0, 0.8214285714285714
Query 47, 2, 20.0, -4.0
Query 48, 5, 50.0, -1.2999999999999998
Query 49, 3, 30.0, -3.5
Query 50, 0, 0.0, 0
Query 51, 5, 50.0, 0.75
Query 52, 2, 20.0, -7.0
Query 53, 0, 0.0, 0
Query 54, 7, 70.0, 0.0
Query 55, 6, 60.0, 0.2857142857142857
Query 56, 5, 50.0, -0.6000000000000001
Query 57, 4, 40.0, 0.4
Query 58, 0, 0.0, 0
Query 59, 4, 40.0, -0.10000000000000009
Query 60, 6, 60.0, 0.34285714285714286
Query 61, 2, 20.0, -15.0
Query 62, 0, 0.0, 0
Query 63, 6, 60.0, 0.8285714285714285
Query 64, 0, 0.0, 0
Query 65, 6, 60.0, 0.34285714285714286
Query 66, 6, 60.0, 0.0
Query 67, 1, 10.0, 1
Query 68, 6, 60.0, 0.6
Query 69, 0, 0.0, 0
Query 70, 0, 0.0, 0
Query 71, 0, 0.0, 0
Query 72, 4, 40.0, -5.5
Query 73, 6, 60.0, 0.17142857142857137
Query 74, 7, 70.0, -0.03571428571428581
Query 75, 6, 60.0, 0.2571428571428571
Query 76, 4, 40.0, -2.6
Query 77, 0, 0.0, 0
Query 78, 0, 0.0, 0
Query 79, 6, 60.0, 0.9428571428571428
Query 80, 7, 70.0, 0.3035714285714286
Query 81, 1, 10.0, 0
Query 82, 8, 80.0, 0.5
Query 83, 0, 0.0, 0
Query 84, 2, 20.0, -44.0
Query 85, 2, 20.0, -88.0
Query 86, 4, 40.0, -0.7
Query 87, 0, 0.0, 0
Query 88, 3, 30.0, -0.5
Query 89, 5, 50.0, -0.25
Query 90, 1, 10.0, 1
Query 91, 6, 60.0, -1.3714285714285714
Query 92, 0, 0.0, 0
Query 93, 7, 70.0, 0.8035714285714286
Query 94, 3, 30.0, -2.25
Query 95, 0, 0.0, 0
Query 96, 0, 0.0, 0
Query 97, 0, 0.0, 0
Query 98, 3, 30.0, -5.5
Query 99, 7, 70.0, 0.7857142857142857
Query 100, 4, 40.0, -5.2
Averages, 3.11, 31.099999999999998, -2.566595238095238
