Queries, Number of Overlapping Results, Percent Overlap, Spearman Correlation
Query 1, 5, 50.0, 0.75
Query 2, 6, 60.0, 0.66
Query 3, 3, 30.0, -4.0
Query 4, 7, 70.0, -0.89
Query 5, 0, 0.0, 0
Query 6, 0, 0.0, 0
Query 7, 5, 50.0, 0.5
Query 8, 8, 80.0, 0.79
Query 9, 2, 20.0, -48.0
Query 10, 0, 0.0, 0
Query 11, 6, 60.0, 0.31
Query 12, 0, 0.0, 0
Query 13, 0, 0.0, 0
Query 14, 0, 0.0, 0
Query 15, 6, 60.0, -0.46
Query 16, 4, 40.0, 0.9
Query 17, 0, 0.0, 0
Query 18, 0, 0.0, 0
Query 19, 5, 50.0, 0.1
Query 20, 1, 10.0, 1
Query 21, 6, 60.0, 0.43
Query 22, 2, 20.0, -4.0
Query 23, 8, 80.0, 0.79
Query 24, 4, 40.0, -2.6
Query 25, 3, 30.0, -0.25
Query 26, 7, 70.0, 0.86
Query 27, 4, 40.0, 0.8
Query 28, 0, 0.0, 0
Query 29, 9, 90.0, 0.33
Query 30, 5, 50.0, -0.55
Query 31, 3, 30.0, -0.5
Query 32, 0, 0.0, 0
Query 33, 1, 10.0, 1
Query 34, 0, 0.0, 0
Query 35, 0, 0.0, 0
Query 36, 6, 60.0, -0.23
Query 37, 2, 20.0, -3.0
Query 38, 0, 0.0, 0
Query 39, 0, 0.0, 0
Query 40, 0, 0.0, 0
Query 41, 7, 70.0, 0.41
Query 42, 2, 20.0, -36.0
Query 43, 0, 0.0, 0
Query 44, 5, 50.0, -0.15
Query 45, 0, 0.0, 0
Query 46, 6, 60.0, 0.49
Query 47, 2, 20.0, -8.0
Query 48, 5, 50.0, -1.7
Query 49, 3, 30.0, -3.25
Query 50, 0, 0.0, 0
Query 51, 4, 40.0, 0.6
Query 52, 2, 20.0, -7.0
Query 53, 0, 0.0, 0
Query 54, 8, 80.0, 0.62
Query 55, 7, 70.0, 0.7
Query 56, 6, 60.0, 0.06
Query 57, 4, 40.0, 0.8
Query 58, 0, 0.0, 0
Query 59, 3, 30.0, -2.5
Query 60, 6, 60.0, 0.49
Query 61, 2, 20.0, -9.0
Query 62, 0, 0.0, 0
Query 63, 6, 60.0, 0.83
Query 64, 0, 0.0, 0
Query 65, 6, 60.0, 0.34
Query 66, 5, 50.0, 0.6
Query 67, 1, 10.0, 1
Query 68, 7, 70.0, 0.5
Query 69, 0, 0.0, 0
Query 70, 0, 0.0, 0
Query 71, 0, 0.0, 0
Query 72, 4, 40.0, -5.5
Query 73, 6, 60.0, 0.17
Query 74, 6, 60.0, -0.2
Query 75, 6, 60.0, -0.31
Query 76, 3, 30.0, -0.5
Query 77, 0, 0.0, 0
Query 78, 0, 0.0, 0
Query 79, 7, 70.0, 0.3
Query 80, 7, 70.0, 0.23
Query 81, 2, 20.0, -88.0
Query 82, 8, 80.0, 0.52
Query 83, 0, 0.0, 0
Query 84, 2, 20.0, -64.0
Query 85, 2, 20.0, -88.0
Query 86, 4, 40.0, -0.7
Query 87, 0, 0.0, 0
Query 88, 3, 30.0, -0.5
Query 89, 4, 40.0, -1.9
Query 90, 1, 10.0, 1
Query 91, 6, 60.0, -1.37
Query 92, 0, 0.0, 0
Query 93, 7, 70.0, 0.86
Query 94, 4, 40.0, -1.2
Query 95, 0, 0.0, 0
Query 96, 0, 0.0, 0
Query 97, 0, 0.0, 0
Query 98, 3, 30.0, -5.75
Query 99, 6, 60.0, 0.43
Query 100, 4, 40.0, -1.2
Averages, 3.1, 31.0, -3.71
